3.27,-1.29,0.36,2.62 
3.40,-1.06,0.22,2.57 
3.41,-0.95,0.15,2.52 
3.43,-0.88,0.11,2.55 
3.43,-0.88,0.11,2.62 
3.41,-0.91,0.14,2.65 
3.43,-0.81,0.12,2.65 
3.40,-0.77,0.10,2.61 
3.39,-0.76,0.10,2.59 
3.40,-0.72,0.08,2.55 
3.34,-0.66,0.06,2.48 
3.30,-0.59,0.04,2.43 
3.25,-0.52,-0.01,2.40 
3.29,-0.39,-0.08,2.46 
3.37,-0.28,-0.14,2.47 
3.44,-0.12,-0.23,2.42 
3.48,0.11,-0.35,2.34 
3.47,0.20,-0.41,2.24 
3.39,0.28,-0.43,2.13 
3.07,0.15,-0.30,2.02 
2.68,-0.14,-0.05,1.96 
2.27,-0.46,0.24,1.93 
1.70,-0.91,0.60,1.92 
1.19,-1.36,0.97,2.00 
0.81,-1.92,1.40,2.12 
0.48,-2.52,1.84,2.18 
0.15,-3.04,2.25,2.18 
-0.12,-3.56,2.64,2.16 
-0.34,-4.01,2.98,2.14 
-0.55,-4.45,3.35,2.11 
-0.93,-5.11,3.84,2.05 
-1.41,-5.77,4.36,1.97 
-1.81,-6.45,4.89,1.95 
-2.18,-7.05,5.38,1.94 
-2.50,-7.70,5.89,1.97 
-2.74,-8.36,6.38,2.07 
-2.94,-8.86,6.80,2.17 
-3.05,-9.41,7.24,2.33 
-3.22,-9.92,7.67,2.47 
-3.23,-10.47,8.09,2.65 
-3.16,-10.99,8.51,2.83 
-3.12,-11.41,8.90,2.96 
-3.08,-11.92,9.35,3.08 
-3.01,-12.44,9.81,3.13 
-2.90,-13.05,10.30,3.14 
-2.82,-14.09,11.18,3.17 
-2.58,-14.91,11.93,3.50 
-2.07,-15.82,12.71,3.93 
-1.52,-16.46,13.34,4.28 
-0.83,-17.14,14.01,4.53 
-0.31,-17.88,14.69,4.70 
0.25,-18.36,15.23,5.03 
0.64,-18.72,15.55,5.18 
0.98,-19.12,15.93,5.21 
1.10,-19.58,16.36,5.10 
1.07,-20.06,16.80,4.91 
1.14,-20.41,17.17,4.79 
1.21,-20.90,17.56,4.72 
1.43,-21.06,17.82,4.75 
1.63,-21.46,18.18,4.79 
1.69,-21.92,18.59,4.79 
1.70,-22.38,19.00,4.75 
1.84,-22.92,19.44,4.74 
2.03,-23.31,19.79,4.69 
2.18,-23.70,20.11,4.58 
2.32,-24.02,20.42,4.45 
2.43,-24.32,20.73,4.33 
2.55,-24.66,21.04,4.22 
2.71,-24.84,21.29,4.16 
2.86,-25.18,21.59,4.13 
3.09,-25.27,21.80,4.14 
3.23,-25.57,22.13,4.16 
3.37,-25.91,22.48,4.19 
3.38,-26.20,22.81,4.16 
3.43,-26.61,23.17,4.13 
3.45,-26.89,23.49,4.08 
3.39,-27.22,23.85,4.05 
3.45,-27.64,24.23,4.07 
3.49,-27.89,24.55,4.11 
3.50,-28.33,24.93,4.17 
3.64,-28.66,25.26,4.24 
3.72,-28.89,25.54,4.23 
3.81,-29.18,25.86,4.22 
3.86,-29.39,26.14,4.18 
3.87,-29.67,26.46,4.17 
3.82,-30.03,26.84,4.17 
3.75,-30.50,27.28,4.17 
3.67,-31.09,27.77,4.16 
3.62,-31.45,28.15,4.15 
3.54,-32.12,28.66,4.16 
3.46,-32.62,29.11,4.18 
3.39,-33.11,29.56,4.20 
3.39,-33.63,30.03,4.20 
3.34,-34.10,30.49,4.17 
3.36,-34.72,30.99,4.16 
3.37,-35.00,31.35,4.13 
3.36,-35.59,31.82,4.14 
3.32,-36.01,32.23,4.18 
3.35,-36.41,32.64,4.29 
3.36,-37.00,33.15,4.42 
3.28,-37.69,33.70,4.52 
3.22,-38.40,34.26,4.59 
3.14,-38.90,34.75,4.67 
3.01,-39.57,35.33,4.76 
2.85,-40.30,35.95,4.90 
2.74,-40.76,36.46,5.08 
2.62,-41.55,37.09,5.31 
2.63,-42.03,37.62,5.59 
2.70,-42.59,38.17,5.81 
2.81,-43.27,38.78,6.00 
2.90,-43.79,39.31,6.15 
2.97,-44.58,39.93,6.30 
3.08,-45.23,40.54,6.48 
2.92,-45.86,41.19,6.51 
2.76,-46.68,41.90,6.57 
2.56,-47.40,42.59,6.66 
2.46,-48.32,43.33,6.81 
2.40,-49.08,43.99,6.96 
2.49,-49.72,44.58,7.14 
2.69,-50.38,45.15,7.33 
2.94,-50.73,45.60,7.45 
3.02,-51.41,46.19,7.54 
3.10,-51.89,46.72,7.64 
3.15,-52.45,47.27,7.76 
3.20,-52.99,47.84,7.94 
3.22,-53.53,48.42,8.14 
3.24,-54.30,49.13,8.38 
3.14,-54.97,49.83,8.57 
3.58,-56.08,50.58,8.93 
3.21,-56.25,51.06,8.77 
3.44,-56.89,51.67,8.89 
3.58,-57.69,52.35,8.97 
3.73,-58.25,52.92,9.04 
3.84,-59.19,53.61,9.18 
3.96,-59.59,54.12,9.28 
4.09,-60.28,54.76,9.48 
4.14,-61.08,55.47,9.75 
4.13,-61.97,56.25,10.06 
4.06,-63.66,57.85,10.68 
3.82,-65.81,59.72,11.14 
3.72,-67.83,61.47,11.50 
3.94,-69.10,62.75,11.70 
4.76,-70.04,63.75,12.03 
5.21,-71.03,64.78,12.15 
5.50,-72.34,66.03,12.68 
5.53,-73.99,67.47,13.46 
5.42,-75.33,68.82,14.02 
5.67,-76.62,70.06,15.11 
6.28,-77.73,71.18,16.15 
6.75,-78.81,72.29,16.72 
6.69,-80.18,73.57,17.19 
6.64,-81.39,74.86,17.43 
6.16,-82.81,76.28,17.35 
5.97,-84.27,77.57,18.58 
6.43,-85.00,78.41,20.11 
7.04,-85.67,79.19,22.06 
7.40,-86.52,80.09,24.23 
7.84,-87.05,80.85,25.85 
8.35,-87.69,81.64,27.82 
8.75,-88.27,82.35,29.87 
9.40,-88.81,82.89,32.92 
10.06,-89.38,83.38,36.34 
10.73,-89.35,83.62,38.04 
11.24,-89.52,83.96,40.16 
11.69,-89.64,84.28,42.22 
12.18,-89.98,84.66,44.75 
12.47,-89.89,84.83,46.35 
12.95,-89.54,84.83,47.56 
13.57,-89.30,84.83,49.19 
13.91,-89.22,84.88,51.04 
14.10,-89.20,84.98,52.71 
14.15,-89.03,85.06,53.54 
14.09,-89.19,85.28,55.09 
13.88,-89.21,85.47,56.10 
13.70,-89.39,85.72,57.37 
13.73,-89.43,85.86,58.57 
13.77,-89.27,85.88,59.56 
13.74,-89.15,85.86,60.84 
13.80,-88.74,85.68,61.35 
13.82,-88.44,85.58,61.83 
13.76,-88.15,85.51,62.00 
13.67,-87.99,85.44,62.79 
13.77,-87.73,85.26,63.52 
13.79,-87.08,84.87,63.56 
13.88,-86.36,84.42,63.17 
13.82,-85.91,84.13,63.01 
13.71,-85.41,83.76,62.48 
13.69,-84.83,83.31,62.09 
14.11,-83.96,82.64,61.64 
14.24,-82.93,81.85,60.33 
14.66,-81.66,80.88,59.54 
14.97,-80.41,79.88,58.42 
15.38,-79.08,78.81,57.34 
15.68,-77.70,77.67,56.06 
16.08,-76.20,76.46,55.00 
16.39,-74.77,75.28,53.80 
16.77,-73.24,74.01,52.60 
17.16,-71.80,72.74,51.26 
17.54,-70.10,71.34,49.69 
17.63,-68.36,69.87,47.91 
17.43,-66.48,68.38,46.17 
17.32,-64.95,67.07,44.91 
17.29,-63.40,65.66,43.61 
17.73,-61.27,63.93,42.37 
18.00,-58.98,62.10,40.78 
18.06,-56.81,60.30,39.16 
17.95,-54.77,58.57,37.76 
17.62,-52.96,56.94,36.54 
17.75,-51.00,55.21,35.47 
17.74,-49.01,53.44,34.15 
17.53,-47.12,51.69,32.94 
17.33,-45.05,49.82,32.08 
17.58,-42.56,47.68,31.49 
17.74,-40.35,45.64,30.70 
17.60,-38.39,43.85,29.68 
17.06,-36.61,42.20,28.41 
16.22,-35.01,40.68,27.19 
15.48,-32.97,38.93,26.07 
14.78,-31.61,37.34,24.95 
14.88,-29.94,35.65,24.29 
14.43,-28.26,33.97,23.50 
13.47,-25.94,32.09,22.55 
12.45,-24.50,30.69,21.49 
11.49,-22.74,29.06,20.18 
11.26,-20.25,26.98,19.03 
10.59,-18.67,25.34,17.84 
9.46,-17.15,23.93,16.83 
8.12,-16.24,22.94,16.12 
6.64,-15.71,22.15,15.45 
5.56,-14.55,20.95,14.59 
5.76,-12.79,19.19,13.82 
5.57,-11.11,17.48,12.95 
4.68,-9.54,16.07,12.23 
4.00,-9.15,15.62,11.99 
3.36,-8.80,15.18,11.82 
2.70,-8.63,14.83,11.65 
2.18,-8.26,14.42,11.47 
1.61,-7.94,14.04,11.23 
1.14,-7.74,13.73,10.91 
0.68,-7.50,13.38,10.55 
0.10,-7.25,12.98,10.13 
-0.15,-6.73,12.45,9.95 
0.35,-6.13,11.83,9.98 
0.30,-5.27,11.08,9.85 
0.21,-4.69,10.48,9.74 
-0.20,-4.36,10.01,9.54 
-0.40,-3.77,9.48,9.43 
-0.80,-3.30,9.02,9.28 
-1.21,-3.04,8.67,9.13 
-1.52,-2.79,8.34,8.96 
-1.88,-2.67,8.04,8.74 
-2.09,-2.47,7.69,8.61 
-2.29,-2.05,7.26,8.50 
-2.48,-1.78,6.91,8.38 
-2.86,-1.53,6.62,8.18 
-3.42,-1.47,6.42,7.95 
-3.72,-1.18,6.14,7.81 
-4.08,-0.97,5.88,7.62 
-4.37,-0.85,5.68,7.48 
-4.64,-0.86,5.54,7.35 
-4.95,-0.90,5.41,7.16 
-5.16,-0.77,5.21,6.98 
-5.40,-0.50,4.95,6.78 
-5.57,-0.38,4.73,6.58 
-5.74,-0.18,4.47,6.40 
-5.80,-0.05,4.24,6.26 
-5.93,0.02,4.05,6.08 
-6.02,0.14,3.83,5.89 
-6.01,0.43,3.54,5.71 
-6.00,0.70,3.23,5.55 
-5.88,0.90,2.87,5.42 
-5.33,1.49,2.21,5.36 
-4.29,2.49,1.15,5.28 
-2.57,4.23,-0.44,5.21 
-0.43,6.56,-2.52,5.07 
2.60,9.59,-5.23,4.97 
6.15,13.89,-8.68,4.83 
9.96,18.76,-12.57,4.67 
14.19,24.16,-16.87,4.68 
22.60,36.60,-26.60,5.07 
31.37,50.02,-37.08,5.87 
38.24,62.27,-47.02,6.17 
