gyro_x	gyro_y	gyro_z	acc_x	acc_y	acc_z
234	-304	134	832	3072	16576
161	-322	88	896	3072	16640
172	-327	82	896	3136	16384
220	-339	175	896	3072	16384
191	-322	119	960	2944	16512
169	-321	51	832	3136	16512
184	-320	145	832	3008	16384
214	-338	128	896	3136	16640
127	-299	70	1024	3200	16576
169	-321	82	832	3072	16448
223	-305	132	960	2944	16384
111	-290	87	896	3136	16640
209	-297	90	896	3136	16512
194	-348	138	960	3072	16448
186	-306	84	896	3072	16448
181	-324	81	832	3264	16384
172	-305	116	896	3200	16512
196	-342	117	960	3008	16512
159	-265	85	896	3136	16512
159	-323	86	960	3136	16320
202	-283	134	960	3072	16576
113	-328	49	960	3008	16384
240	-298	81	832	3008	16576
99	-305	78	832	3136	16640
165	-283	161	768	3136	16384
192	-334	62	1024	3136	16512
116	-302	151	960	3136	16512
217	-310	91	1088	3136	16448
181	-339	33	896	3072	16576
173	-287	142	1024	3136	16704
119	-278	38	896	3136	16512
143	-349	137	832	3008	16320
290	-266	93	1024	3264	16576
150	-392	60	960	3072	16640
151	-242	107	960	2944	16512
206	-373	77	896	3136	16448
1706	2186	1059	704	3136	16256
1802	-3282	-3568	-832	4800	14848
-745	2452	916	-1536	1600	16192
-31	-1171	-73	3456	2944	17408
-120	-1050	-869	256	1920	16832
219	1151	1268	384	3200	16704
-988	-1211	-988	1216	-448	17408
705	-553	-2887	12160	13376	13376
2687	-3635	-201	-192	3968	14592
430	-1333	-1506	-1344	2880	16000
2863	-2921	3166	2240	5824	17152
6140	-7731	1664	3584	5632	16576
6275	-9715	1020	4800	5504	16448
6024	-12304	3236	6720	6784	15232
6250	-11364	2096	8768	6848	13056
3931	-11280	1862	10880	8128	10624
4953	-10854	2207	12480	9024	6912
6399	-12867	-257	13568	9408	4864
2272	-10919	2027	14336	7872	1536
4829	-9474	1881	12864	7232	-3328
1718	-8360	2913	13120	6208	-3264
3072	-6686	3221	14656	6272	-3776
4484	-4338	981	12416	5760	-7424
4653	-4199	-3374	12480	4992	-8128
2897	-2266	-4224	11008	3584	-9920
1036	-1267	-715	10688	3776	-10624
-1009	-776	1063	10880	4672	-11648
-2402	237	-83	11072	4736	-11072
-1268	443	1420	12416	6016	-9856
1973	-600	-279	11904	5760	-9792
-722	413	775	10944	4352	-10048
-1495	328	1631	11520	4992	-10496
-1174	419	784	11584	5120	-9472
274	-188	643	12288	5760	-8384
-133	-307	-583	11648	4736	-8384
-1302	291	913	12032	5504	-9984
-627	-305	533	12288	5760	-8896
-894	-57	874	12224	5696	-9024
-1807	291	-21	11712	5952	-10112
-2091	715	1490	12096	6464	-9536
-107	-242	551	12736	6400	-8128
-789	-680	-1351	11712	5952	-7744
2382	-664	-718	11968	7424	-10304
-518	1184	-1815	10560	4480	-8704
-2515	513	1095	11456	6528	-9216
596	1464	-2468	13312	8000	-7168
-638	-1603	1325	11712	7296	-8192
-6660	-12241	-1152	8960	3904	-960
-1612	3436	384	12032	5760	-7232
-6384	-518	12783	14400	8320	-7616
5763	8537	-19540	192	8000	-6080
4524	750	-4668	14144	9472	-7488
-1403	-1541	459	10816	11328	-4352
1744	-3665	-5650	9856	11584	-3968
-418	-1346	1166	9984	11328	-6400
1899	-939	3288	10624	11328	-7040
298	-1255	2377	10176	9280	-7552
3525	-1980	2478	10816	10240	-7936
7782	-4889	7532	10624	9856	-7808
12293	-5182	8730	9856	4416	-9216
15437	-6264	12897	10368	3328	-9664
14815	-5060	15061	7488	-2496	-13056
14628	-4442	10045	6912	-9792	-12416
12300	-1979	12087	5440	-12672	-9984
6461	-287	7687	3008	-16384	-6848
4691	-744	5741	1408	-16832	-6208
4167	-205	2500	896	-17792	-5824
-1129	-665	-1219	192	-17920	-4800
107	-483	-265	704	-15872	-6016
412	-435	882	-128	-15488	-4544
-81	23	224	192	-16704	-5120
752	-271	-342	320	-15488	-4928
365	-338	-413	0	-16256	-4544
398	-206	104	-192	-15552	-4480
-26	-440	-1018	640	-16640	-4864
103	-498	-435	576	-16192	-4800
-69	-307	-470	640	-16256	-5504
175	-123	405	320	-15552	-4416
618	-242	304	1024	-15936	-5120
109	-253	-141	320	-16256	-4608
397	-42	402	512	-15808	-4864
268	-143	573	448	-16192	-4672
117	-259	556	448	-16000	-4672
-509	-173	1020	384	-15936	-4736
95	-459	-1286	640	-16256	-5120
139	-399	-354	512	-16256	-5184
140	-436	-143	768	-16384	-5120
76	-189	287	640	-16064	-5184
1	-144	162	512	-15808	-5056
-591	100	-1283	768	-16192	-5184
-304	-3	-1422	448	-16000	-5312
-175	-98	1	1152	-16512	-5760
-583	150	-757	1536	-15936	-5376
102	-260	-225	1088	-15232	-5440
-215	-371	-1013	1344	-16064	-5504
104	-415	-426	1536	-16448	-5888
-284	-1041	-1536	2944	-16192	-6720
754	-2884	792	2496	-15616	-5504
1826	-5381	466	2816	-16320	-7360
-146	-4252	438	1728	-15168	-5760
1540	-5929	-254	1024	-16384	-6016
-2402	-3293	1282	256	-15360	-6336
-676	-2977	-751	384	-15872	-5824
244	-3192	-1944	896	-15360	-7232
2015	-4917	-2327	832	-15360	-6848
-49	-4020	-2086	-256	-15552	-7232
2800	-6204	-3151	448	-16896	-5184
912	-9397	-3539	832	-15040	-7488
4706	-7366	-3473	320	-14016	-7424
2806	-5516	-2127	320	-14208	-5376
2164	-905	-1759	0	-14464	-5056
-201	-166	-124	64	-15680	-4288
-3881	-989	318	-640	-14848	-5376
2669	736	-2251	1216	-14400	-6336
371	1024	-151	2176	-17728	-5248
